addr,location,agency,_X,_Y
서울특별시 송파구 법원로 135 대명레저산업,1층 로비,대명레저산업,127.1183669,37.48698782
"서울특별시 은평구 불광로 지하129-1, 6호선 독바위역사무소 (불광동)",독바위역 B1층 대합실,독바위역,126.9327915,37.61836841
서울특별시 노원구 마들로5길 25 녹천역 두산위브 아파트 (월계동),관리동 관리사무소 입구,두산위브아파트,127.0523683,37.64070043
"서울특별시 중랑구 신내로 156, 서울의료원 (신내동)",일반구급차73다2318,서울특별시서울의료원,127.0987323,37.61307888
"서울특별시 중구 세종대로 14, 그랜드센트럴(GRAND CENTRAL) (남대문로5가)",사무실 내부,(주)현대캐피탈,126.9744151,37.55783854
"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",1층 복도 중앙현관,서울해누리초등학교,127.1089204,37.49984551
서울특별시 성동구 뚝섬로 273 서울숲 공원,서울숲 공원 내부,서울숲공원,127.0417991,37.54306941
"서울특별시 서초구 남부순환로 2215, 포르쉐서초 서비스 센터 (방배동)",지하1층 카엘리베이터 옆,스투트가르트스포츠카<주>,126.9944785,37.47395772
"서울특별시 송파구 송파대로28길 27, 102동 212호 (가락동, 송파성원쌍떼빌)",구급차 내(76마8128),메디스콥영상의학과의원,127.1207539,37.49520602
"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",2동 로비 내,아이파크삼성동아파트,127.0583119,37.51871463
"서울특별시 성동구 동호로 100  (금호동3가, 두산아파트)",111동 엘레베이터 앞,금호두산아파트,127.0157864,37.54946435
"서울특별시 영등포구 선유로 75, GS강서타워 (문래동6가)",강서타워 1층 안내데스크 앞,(주)지에스리테일홈쇼핑,126.8890341,37.52081035
서울특별시 도봉구 마들로 664-17,보훈단체사무실 3층,도봉지역자활센터,127.0474478,37.66956587
"서울특별시 양천구 남부순환로88길 5-7, 넓은들민원센터 (신정동)",지하1층 넓은들민원실,신정3동넓은들민원센터,126.8415149,37.51143693
"서울특별시 강동구 천호대로 1044, 성내빌딩 (성내동)",리더스병원 구급차(72가3822),리더스병원구급차,127.1277286,37.53694762
서울특별시 마포구 마포대로 지하 92 공항철도 공덕역 (도화동),지하3층 대합실 환승게이트,공항철도(주)공덕역,126.9521969,37.54254262
"서울특별시 광진구 능동로 216, 어린이대공원 (능동)",구의문 초소 앞,서울어린이대공원,127.0842783,37.55090523
서울특별시 성북구 북악산로29길 67 (종암동),정문경비실,극동아파트,127.0336593,37.59552036
서울특별시 중랑구 동일로157길 75,본관 1층 보안관실 안 벽면,묵현초등학교,127.0736909,37.60908104
"서울특별시 마포구 월드컵로 212, 마포구보건소 (성산동)",보건소 1층 입구 옆,마포구보건소,126.9018212,37.56691842
"서울특별시 도봉구 마들로11길 77, 창동역 (창동)",현장내 안전조회장,롯데건설경원선창동민자역사신축공사현장,127.0477154,37.65321758
"서울특별시 성동구 광나루로 297, 성동세무서 1층 (송정동)",1층 안내실 옆,성동세무서,127.0628189,37.54850134
서울특별시 광진구 아차산로 552 .,11동12라인,광장극동2차아파트,127.1050188,37.54354928
"서울특별시 중랑구 숙선옹주로 66, 묵동 다목적체육관 (묵동)",1층출입구,묵동다목적체육관,127.084217,37.61445635
"서울특별시 마포구 성암로 지하 184, 공항철도 디지털미디어시티역 (상암동)",지하1층 환승통로,공항철도(주)DMC역,126.8990201,37.57682348
"서울특별시 중구 세종대로 124, 한국프레스센터 (태평로1가)",1층 로비,(주)서울신문사,126.9778735,37.56741989
"서울특별시 서초구 남부순환로347길 46, 서초구 육아종합지원센터 (서초동)",육아종합지원센터 1층 복도,서초구육아종합지원센터,127.0314249,37.48643162
서울특별시 중구 남대문로5길 15  (북창동),1F 프런트 데스크,소테츠호텔즈더스프라지르서울명동,126.9787401,37.56207602
